epoch,ACC_ELBOW,ACC_FINGER,ACC_FOREARM,ACC_HAND,ACC_HUMERUS,ACC_SHOULDER,ACC_WRIST,ACC_LEG,KAPPA_ELBOW,KAPPA_FINGER,KAPPA_FOREARM,KAPPA_HAND,KAPPA_HUMERUS,KAPPA_SHOULDER,KAPPA_WRIST,KAPPA_LEG,epoch_acc,epoch_auc,kappa,epoch_loss
3,0.8142523364485982,0.8191721132897604,0.8757763975155279,0.8067444876783398,0.8588469184890656,0.7685361216730038,0.853431562621171,0.9815384615384616,0.6013877707494729,0.5753723460159288,0.7312492550030683,0.555609188845251,0.6991037675742259,0.5335347048365444,0.6724350201560721,0.961670113642096,0.8259818731117825,0.8034522813122287,0.6216262838998112,0.2022976256000601
4,0.8189252336448598,0.813362381989833,0.8757763975155279,0.8132295719844358,0.8906560636182903,0.7832699619771863,0.8615742535866615,0.9969230769230768,0.6180014363354778,0.554030463297521,0.7489690721649485,0.5697175495225362,0.7790204725080421,0.5598249491115296,0.6901047673497083,0.9694562368489056,0.8339375629405841,0.8114079585981642,0.640750782030191,0.1992744463542182
5,0.8142523364485982,0.8242556281771968,0.8804347826086957,0.8086900129701686,0.8946322067594433,0.7880228136882129,0.8646762310973245,0.9907692307692308,0.6175111185318984,0.5760164412398678,0.7606648588403584,0.561424192407451,0.7540829514745624,0.589181867863517,0.6929671631991168,0.9523921114878472,0.8364551863041289,0.814369626833786,0.6490882094219146,0.191770777345343
6,0.8060747663551402,0.8351488743645606,0.8819875776397516,0.8151750972762646,0.8687872763419483,0.7618821292775665,0.8646762310973245,0.963076923076923,0.5839890213879348,0.6191126343098206,0.7518087613306211,0.5927539900994898,0.7075081889999786,0.5339304099418511,0.6932935711758187,0.920039022722903,0.8306143001007049,0.8096941903415924,0.6358896237494234,0.1961288752421982
7,0.8130841121495327,0.8148148148148148,0.8726708074534162,0.8099870298313878,0.8588469184890656,0.7623574144486692,0.856921287320667,0.963076923076923,0.5985715865633676,0.5170330738521168,0.7193232902705243,0.5568314553199403,0.7068927034064941,0.5264779898142763,0.6751543513491503,0.9163256926845154,0.8245720040281974,0.7920591947870746,0.6123394434239529,0.2038901375830974
8,0.8072429906542056,0.8322440087145969,0.8711180124223602,0.8287937743190662,0.852882703777336,0.782319391634981,0.866227219852656,1.0,0.5859770706999758,0.5957741044025902,0.7219323055677276,0.6183817285529958,0.6861143775689642,0.5752352547391109,0.6935088901654101,0.9869631394348488,0.8368580060422961,0.8125678700711458,0.6478632629822104,0.1932726066834882
9,0.8200934579439252,0.8300653594771242,0.8913043478260869,0.8086900129701686,0.9025844930417496,0.7861216730038023,0.8728189220628151,0.9907692307692308,0.613785758170476,0.5911456994840693,0.7530663449517865,0.5933386135743608,0.7624108934135826,0.5519592254579513,0.7120490172301406,0.9741891341058638,0.8405840886203424,0.8166719638749552,0.6479546307638531,0.1885829476767979
10,0.822429906542056,0.8329702251270878,0.8881987577639752,0.8151750972762646,0.8886679920477137,0.7633079847908745,0.8673904614191547,0.9876923076923076,0.6260664033619241,0.5863011872016117,0.7559219203376418,0.5927761187499316,0.7708650762362418,0.536736234389853,0.6986786529628697,0.9742927982136902,0.834944612286002,0.8103454438510748,0.6418993737303365,0.1954387723187808
11,0.8341121495327103,0.8257080610021786,0.8819875776397516,0.8171206225680934,0.8986083499005965,0.8127376425855514,0.8627374951531601,0.9907692307692308,0.6420624880199348,0.5531836630505331,0.7544900204719508,0.5816639699658546,0.7784471571306485,0.6230611759277929,0.6934229883092724,0.970068371739681,0.8447129909365559,0.8193348286235679,0.6611548344868399,0.1873137455436597
12,0.8177570093457944,0.8351488743645606,0.8773291925465838,0.8281452658884566,0.8906560636182903,0.7775665399239544,0.8693291973633192,0.9876923076923076,0.6151213092991575,0.6052635768469574,0.7304025377186893,0.6084824698232726,0.7570111409911641,0.5557761340150114,0.705939447496204,0.969947915531632,0.839778449144008,0.8142124505153224,0.6513694016247172,0.1849799213184687
